
Name                                                         AppID                                                                                                                                 
----                                                         -----                                                                                                                                 
Adobe Creative Cloud                                         Adobe.CreativeCloud                                                                                                                   
Avast Free Antivirus                                         avast! Antivirus                                                                                                                      
Avast Secure Browser                                         Avast_Secure_Browser                                                                                                                  
Sifu                                                         C:\Games\Sifu\Sifu.exe                                                                                                                
== ElAmigos Releases and Updates @ official site ==          C:\Games\Sifu\_ElAmigos Releases and Updates.url                                                                                      
MinGW Installation Manager                                   C:\MinGW\libexec\mingw-get\guimain.exe                                                                                                
Riot Client                                                  C:\Riot Games\Riot Client\RiotClientServices.exe                                                                                      
Citra Nightly                                                C:\Users\dhruv\AppData\Local\Citra\nightly-mingw\citra-qt.exe                                                                         
Android Studio                                               C:\Users\dhruv\AppData\Local\JetBrains\Toolbox\apps\AndroidStudio\ch-0\222.4459.24.2221.10121639\bin\studio64.exe                     
IntelliJ IDEA Community Edition                              C:\Users\dhruv\AppData\Local\JetBrains\Toolbox\apps\IDEA-C\ch-0\231.9011.34\bin\idea64.exe                                            
PyCharm Community                                            C:\Users\dhruv\AppData\Local\JetBrains\Toolbox\apps\PyCharm-C\ch-0\231.9011.38\bin\pycharm64.exe                                      
JetBrains Toolbox                                            C:\Users\dhruv\AppData\Local\JetBrains\Toolbox\bin\jetbrains-toolbox.exe                                                              
Python 3.10 (64-bit)                                         C:\Users\dhruv\AppData\Local\Programs\Python\Python310\python.exe                                                                     
Python 3.9 (64-bit)                                          C:\Users\dhruv\AppData\Local\Programs\Python\Python39\python.exe                                                                      
yuzu Maintenance Tool                                        C:\Users\dhruv\AppData\Local\yuzu\maintenancetool.exe                                                                                 
TLauncher                                                    C:\Users\dhruv\AppData\Roaming\.minecraft\TLauncher.exe                                                                               
Spotify                                                      C:\Users\dhruv\AppData\Roaming\Spotify\Spotify.exe                                                                                    
Uninstall Telegram                                           C:\Users\dhruv\AppData\Roaming\Telegram Desktop\unins001.exe                                                                          
uTorrent Web                                                 C:\Users\dhruv\AppData\Roaming\uTorrent Web\utweb.exe                                                                                 
?Torrent                                                     C:\Users\dhruv\AppData\Roaming\uTorrent\uTorrent.exe                                                                                  
Citra Canary                                                 C:\Users\dhruv\OneDrive\Desktop\mystuff\citra\canary-mingw\citra-qt.exe                                                               
Google Chrome                                                Chrome                                                                                                                                
YouTube                                                      Chrome._crx_agimnkijcamfeangaknmldooml                                                                                                
Google Meet                                                  Chrome._crx_kjgfgldnnffkjfagphfepbbdan                                                                                                
Google Chat                                                  Chrome._crx_mdpkiolbdkfbkbmhigcaggjagi                                                                                                
Diffchecker                                                  com.checkersoftware.diffchecker                                                                                                       
Discord Bot Client                                           com.electron.discord-bot-client                                                                                                       
Guilded                                                      com.electron.Guilded                                                                                                                  
Discord                                                      com.squirrel.Discord.Discord                                                                                                          
GitHub Desktop                                               com.squirrel.GitHubDesktop.GitHubDesktop                                                                                              
Sourcetree                                                   com.squirrel.SourceTree.SourceTree                                                                                                    
